1:0,7,7,8,8,7,0,0,0,9,3,2,0,2,0,0,0,0,3,1,0,1,0,0
2:7,0,9,8,8,8,0,0,0,0,0,7,0,0,0,1,3,0,0,0,0,1,0,0
3:9,7,0,8,8,7,0,2,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
4:8,8,8,0,8,8,8,7,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5:8,7,8,8,0,7,0,0,2,8,0,0,3,3,0,0,1,0,0,0,3,0,0,0
6:7,8,7,8,7,0,3,3,0,0,0,9,1,3,2,0,2,0,2,0,0,1,3,2
7:0,0,0,8,0,3,0,8,7,2,2,0,0,0,1,0,3,0,0,0,1,0,0,7
8:0,0,2,7,0,3,8,0,8,0,0,0,3,0,0,0,2,0,3,0,0,8,0,7
9:0,0,1,0,2,0,7,8,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0
10:9,0,2,8,8,0,2,0,0,0,7,7,3,2,0,0,2,0,1,0,0,0,0,0
11:3,0,0,0,0,0,2,0,0,7,0,8,0,2,2,1,8,0,0,3,0,0,0,0
12:2,7,0,0,0,7,0,0,0,7,8,0,8,8,0,0,1,1,2,0,0,0,0,0
13:0,0,0,0,3,1,0,3,0,3,0,8,0,7,7,8,2,0,8,0,0,0,0,0
14:2,0,0,0,3,3,0,0,3,2,2,8,8,0,8,2,0,0,0,2,2,0,0,0
15:0,0,2,0,0,2,1,0,2,0,2,0,7,8,0,0,8,0,7,0,1,0,2,0
16:0,1,0,0,0,0,0,0,2,0,1,0,8,2,0,0,7,8,9,7,2,0,0,0
17:0,3,0,2,1,2,3,2,1,2,8,1,2,0,8,9,0,9,7,7,8,2,0,0
18:0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,0,7,8,0,7,9,8
19:3,0,0,0,0,2,0,3,0,1,0,2,8,0,7,9,7,7,0,8,0,0,0,0
20:1,0,2,0,0,0,0,0,0,0,3,0,0,2,0,9,7,7,8,0,0,2,0,1
21:0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,2,8,0,0,0,0,0,0,1
22:1,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,8,0,2,0,0,7,8
23:0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,7,0,7
24:0,0,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0,8,0,1,1,8,7,0
